variante,tamanho_chunk,N,K,numero_threads,tempo
1,1,1000000,24,16,5.489152
1,1,1000000,24,16,5.505969
1,1,1000000,24,16,5.500076
1,1,1000000,24,16,5.498248
1,1,1000000,24,16,5.491080
1,1,1000000,28,1,55.462838
1,1,1000000,28,1,58.247887
1,1,1000000,28,1,56.431582
1,1,1000000,28,1,59.230564
1,1,1000000,28,1,59.325507
1,1,1000000,28,2,31.111630
1,1,1000000,28,2,32.332719
1,1,1000000,28,2,32.898059
1,1,1000000,28,2,32.624706
1,1,1000000,28,2,46.969163
1,1,1000000,28,4,41.800765
1,1,1000000,28,4,33.509994
1,1,1000000,28,4,33.144407
1,1,1000000,28,4,33.121813
1,1,1000000,28,4,33.117318
1,1,1000000,28,8,32.956295
1,1,1000000,28,8,33.174667
1,1,1000000,28,8,33.252661
1,1,1000000,28,8,33.183403
1,1,1000000,28,8,33.176453
1,1,1000000,28,16,33.174762
1,1,1000000,28,16,33.177974
1,1,1000000,28,16,33.220692
1,1,1000000,28,16,33.389921
1,1,1000000,28,16,33.216435
2,1,100000,20,1,0.186854
2,1,100000,20,1,0.187014
2,1,100000,20,1,0.185501
2,1,100000,20,1,0.185777
2,1,100000,20,1,0.185522
2,1,100000,20,2,0.090262
2,1,100000,20,2,0.086054
2,1,100000,20,2,0.089057
2,1,100000,20,2,0.096949
2,1,100000,20,2,0.091750
2,1,100000,20,4,0.081331
2,1,100000,20,4,0.079632
2,1,100000,20,4,0.079414
2,1,100000,20,4,0.079330
2,1,100000,20,4,0.080225
2,1,100000,20,8,0.079538
2,1,100000,20,8,0.079399
2,1,100000,20,8,0.079056
2,1,100000,20,8,0.079515
2,1,100000,20,8,0.079286
2,1,100000,20,16,0.079089
2,1,100000,20,16,0.079463
2,1,100000,20,16,0.081459
2,1,100000,20,16,0.088357
2,1,100000,20,16,0.092715
2,1,100000,24,1,1.103758
2,1,100000,24,1,0.938789
2,1,100000,24,1,0.895695
2,1,100000,24,1,1.105579
2,1,100000,24,1,0.960266
2,1,100000,24,2,0.481773
2,1,100000,24,2,0.482718
2,1,100000,24,2,0.564583
2,1,100000,24,2,0.578546
2,1,100000,24,2,0.566940
2,1,100000,24,4,0.549530
2,1,100000,24,4,0.546705
2,1,100000,24,4,0.549136
2,1,100000,24,4,0.549421
2,1,100000,24,4,0.548527
2,1,100000,24,8,0.560761
2,1,100000,24,8,0.547901
2,1,100000,24,8,0.552791
2,1,100000,24,8,0.547838
2,1,100000,24,8,0.549718
2,1,100000,24,16,0.549672
2,1,100000,24,16,0.549381
2,1,100000,24,16,0.549419
2,1,100000,24,16,0.548735
2,1,100000,24,16,0.548944
2,1,100000,28,1,5.483223
2,1,100000,28,1,5.349652
2,1,100000,28,1,5.360896
2,1,100000,28,1,5.355088
2,1,100000,28,1,5.952345
2,1,100000,28,2,3.063592
2,1,100000,28,2,3.241534
2,1,100000,28,2,3.146284
2,1,100000,28,2,3.303134
2,1,100000,28,2,3.397865
2,1,100000,28,4,3.309336
2,1,100000,28,4,3.304768
2,1,100000,28,4,3.321024
2,1,100000,28,4,3.310672
2,1,100000,28,4,3.303032
2,1,100000,28,8,3.325827
2,1,100000,28,8,3.315387
2,1,100000,28,8,3.308812
2,1,100000,28,8,3.321419
2,1,100000,28,8,3.313550
2,1,100000,28,16,3.314343
2,1,100000,28,16,3.330014
2,1,100000,28,16,3.316037
2,1,100000,28,16,3.312867
2,1,100000,28,16,3.328238
2,1,500000,20,1,0.811426
2,1,500000,20,1,0.741391
2,1,500000,20,1,0.847427
2,1,500000,20,1,0.925559
2,1,500000,20,1,0.754624
2,1,500000,20,2,0.402754
2,1,500000,20,2,0.399364
2,1,500000,20,2,0.471851
2,1,500000,20,2,0.474953
2,1,500000,20,2,0.476326
2,1,500000,20,4,0.458124
2,1,500000,20,4,0.457795
2,1,500000,20,4,0.473766
2,1,500000,20,4,0.457818
2,1,500000,20,4,0.458538
2,1,500000,20,8,0.457583
2,1,500000,20,8,0.458231
2,1,500000,20,8,0.457350
2,1,500000,20,8,0.457559
2,1,500000,20,8,0.457854
2,1,500000,20,16,0.457772
2,1,500000,20,16,0.458078
2,1,500000,20,16,0.461316
2,1,500000,20,16,0.458355
2,1,500000,20,16,0.457835
2,1,500000,24,1,4.592471
2,1,500000,24,1,4.447201
2,1,500000,24,1,4.916277
2,1,500000,24,1,4.853915
2,1,500000,24,1,4.426507
2,1,500000,24,2,2.691476
2,1,500000,24,2,2.781969
2,1,500000,24,2,2.523943
2,1,500000,24,2,2.743942
2,1,500000,24,2,2.789585
2,1,500000,24,4,2.737646
2,1,500000,24,4,2.736533
2,1,500000,24,4,2.749213
2,1,500000,24,4,2.735647
2,1,500000,24,4,2.737389
2,1,500000,24,8,2.743824
2,1,500000,24,8,2.758040
2,1,500000,24,8,2.737780
2,1,500000,24,8,2.742906
2,1,500000,24,8,2.751989
2,1,500000,24,16,2.739182
2,1,500000,24,16,2.745019
2,1,500000,24,16,2.739624
2,1,500000,24,16,2.757288
2,1,500000,24,16,2.738902
2,1,500000,28,1,27.489852
2,1,500000,28,1,27.633495
2,1,500000,28,1,27.020567
2,1,500000,28,1,27.329852
2,1,500000,28,1,27.348598
2,1,500000,28,2,15.923509
2,1,500000,28,2,16.484919
2,1,500000,28,2,16.444171
2,1,500000,28,2,16.449293
2,1,500000,28,2,16.444739
2,1,500000,28,4,16.528440
2,1,500000,28,4,16.567449
2,1,500000,28,4,16.536427
2,1,500000,28,4,16.530740
2,1,500000,28,4,16.545285
2,1,500000,28,8,16.572415
2,1,500000,28,8,16.622705
2,1,500000,28,8,16.574443
2,1,500000,28,8,16.578791
2,1,500000,28,8,16.563056
2,1,500000,28,16,16.581811
2,1,500000,28,16,16.597057
2,1,500000,28,16,16.573104
2,1,500000,28,16,16.578583
2,1,500000,28,16,16.631985
2,1,1000000,20,1,1.601514
2,1,1000000,20,1,1.486799
2,1,1000000,20,1,1.488634
2,1,1000000,20,1,1.486666
2,1,1000000,20,1,1.485306
2,1,1000000,20,2,0.813625
2,1,1000000,20,2,0.958145
2,1,1000000,20,2,0.859936
2,1,1000000,20,2,0.789365
2,1,1000000,20,2,0.904761
2,1,1000000,20,4,0.913919
2,1,1000000,20,4,0.912965
2,1,1000000,20,4,0.918070
2,1,1000000,20,4,0.913348
2,1,1000000,20,4,0.913900
2,1,1000000,20,8,0.914057
2,1,1000000,20,8,0.915477
2,1,1000000,20,8,0.929435
2,1,1000000,20,8,0.914196
2,1,1000000,20,8,0.914264
2,1,1000000,20,16,0.914241
2,1,1000000,20,16,0.913620
2,1,1000000,20,16,0.915245
2,1,1000000,20,16,0.917576
2,1,1000000,20,16,0.915952
2,1,1000000,24,1,9.032373
2,1,1000000,24,1,8.863273
2,1,1000000,24,1,8.860525
2,1,1000000,24,1,8.853764
2,1,1000000,24,1,8.860130
2,1,1000000,24,2,5.427147
2,1,1000000,24,2,5.564837
2,1,1000000,24,2,5.274014
2,1,1000000,24,2,5.566247
2,1,1000000,24,2,5.280138
2,1,1000000,24,4,5.480714
2,1,1000000,24,4,5.464130
2,1,1000000,24,4,5.481333
2,1,1000000,24,4,5.483237
2,1,1000000,24,4,5.472044
2,1,1000000,24,8,5.490023
2,1,1000000,24,8,5.478854
2,1,1000000,24,8,5.491334
2,1,1000000,24,8,5.477863
2,1,1000000,24,8,5.489871
2,1,1000000,24,16,5.481055
2,1,1000000,24,16,5.492392
2,1,1000000,24,16,5.480860
2,1,1000000,24,16,5.500879
2,1,1000000,24,16,5.824897
2,1,1000000,28,1,53.548176
2,1,1000000,28,1,53.395244
2,1,1000000,28,1,59.294056
2,1,1000000,28,1,54.910727
2,1,1000000,28,1,58.136012
2,1,1000000,28,2,31.285589
2,1,1000000,28,2,32.257607
2,1,1000000,28,2,33.114184
2,1,1000000,28,2,32.839078
2,1,1000000,28,2,33.164827
2,1,1000000,28,4,33.073142
2,1,1000000,28,4,33.038054
2,1,1000000,28,4,33.050584
2,1,1000000,28,4,33.035354
2,1,1000000,28,4,33.029009
2,1,1000000,28,8,33.111646
2,1,1000000,28,8,33.113014
2,1,1000000,28,8,33.130834
2,1,1000000,28,8,33.177463
2,1,1000000,28,8,33.096704
2,1,1000000,28,16,33.134398
2,1,1000000,28,16,33.120630
2,1,1000000,28,16,33.120583
2,1,1000000,28,16,33.248446
2,1,1000000,28,16,33.142686
2,4,100000,20,1,0.186461
2,4,100000,20,1,0.184957
2,4,100000,20,1,0.189168
2,4,100000,20,1,0.184261
2,4,100000,20,1,0.177065
2,4,100000,20,2,0.081768
2,4,100000,20,2,0.090605
2,4,100000,20,2,0.086562
2,4,100000,20,2,0.088115
2,4,100000,20,2,0.088920
2,4,100000,20,4,0.079555
2,4,100000,20,4,0.081595
2,4,100000,20,4,0.079431
2,4,100000,20,4,0.079147
2,4,100000,20,4,0.078274
2,4,100000,20,8,0.079524
2,4,100000,20,8,0.078628
2,4,100000,20,8,0.078776
2,4,100000,20,8,0.078732
2,4,100000,20,8,0.078772
2,4,100000,20,16,0.079000
2,4,100000,20,16,0.078856
2,4,100000,20,16,0.079038
2,4,100000,20,16,0.091959
2,4,100000,20,16,0.092413
2,4,100000,24,1,1.105010
2,4,100000,24,1,0.930070
2,4,100000,24,1,0.884003
2,4,100000,24,1,0.883560
2,4,100000,24,1,0.883243
2,4,100000,24,2,0.467528
2,4,100000,24,2,0.467871
2,4,100000,24,2,0.512448
2,4,100000,24,2,0.562189
2,4,100000,24,2,0.574727
